"","t","electricity_no_hvac","cooling_electricity","heating_electricity","dw","total_electricity","DHeating","temperature","windSpeed","windBearing","sunAltitude","GHI","nhours","cluster","cluster_train","cluster_pred","dep","m1","m2","m","mt","ml","temp_dep_h","temp_dep_c","GHI_dep","windSpeed_dep","status","temp_dep_c_m1","temp_dep_h_m1","GHI_dep_m1","windSpeed_dep_m1","windBearing_m1","temp_dep_c_m2","temp_dep_h_m2","GHI_dep_m2","windSpeed_dep_m2","windBearing_m2"
"63",2016-03-03,262.654520097731,0,92.8423176368745,"4",355.496837734605,259.626598002983,4.02958802074076,1.44125,177.333333333333,42.0584096989613,87.3791291666667,24,"3","3","3",1,0,0,0,0,0,7.87121030730925,0,87.3791291666667,1.44125,0,0,0,0,0,0,0,0,0,0,0
"64",2016-03-04,260.172946573978,0,44.6441082705334,"5",304.817054844511,123.70690638624,3.79696885728395,2.52041666666667,152.666666666667,42.444383844751,128.519758333333,24,"3","3","3",1,0,0,0,0,0,8.10382947076605,0,128.519758333333,2.52041666666667,0,0,0,0,0,0,0,0,0,0,0
"65",2016-03-05,3.14949515327792,0,0,"6",3.14949515327792,0,5.70749393716812,3.3075,93.9583333333333,42.831751924651,83.0404916666667,24,"7","7","7",1,0,0,0,0,0,6.19330439088189,0,83.0404916666667,3.3075,0,0,0,0,0,0,0,0,0,0,0
"66",2016-03-06,3.29451560390173,0,0.119994374032023,"7",3.41450997793375,0.323984809886462,4.00517941603838,2.64291666666667,195.416666666667,43.2203990944149,54.5741,24,"7","7","7",1,0,0,0,0,0,7.89561891201163,0,54.5741,2.64291666666667,0,0,0,0,0,0,0,0,0,0,0
"67",2016-03-07,257.096954907829,0,168.276404487411,"1",425.37335939524,464.667822217511,2.81713801347934,1.52916666666667,171.708333333333,43.6102109830391,78.8726666666667,24,"3","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",2016-03-08,258.690563697058,0,102.106046470079,"2",360.796610167137,283.209763040363,1.97154446968869,1.30875,204.083333333333,44.0010737198935,104.708775,24,"3","3","3",1,0,0,0,0,0,9.92925385836132,0,104.708775,1.30875,0,0,0,0,0,0,0,0,0,0,0
"69",2016-03-09,260.047236857361,0,52.1267534985894,"3",312.173990355951,142.877869605963,3.12376584433075,2.30708333333333,122.791666666667,44.3928739605966,139.899616666667,24,"3","3","3",1,0,0,0,0,0,8.77703248371925,0,139.899616666667,2.30708333333333,0,0,0,0,0,0,0,0,0,0,0
"70",2016-03-10,259.792381807968,0,69.386341340975,"4",329.178723148943,197.242484983346,5.25912745769602,2.89875,34.9166666666667,44.785498911663,60.5162458333333,24,"3","3","3",1,0,0,0,0,0,6.64167087035398,0,60.5162458333333,2.89875,0,0,0,0,0,0,0,0,0,0,0
"71",2016-03-11,259.038429195858,0,114.55546169594,"5",373.593890891798,310.348355484156,4.30417365727376,2.59166666666667,11.2083333333333,45.1788363539402,48.2453291666667,24,"3","3","3",1,0,0,0,0,0,7.59662467077625,0,48.2453291666667,2.59166666666667,0,0,0,0,0,0,0,0,0,0,0
"72",2016-03-12,2.28518804787935,0,3.36966473691486,"6",5.65485278479421,9.09809478967012,3.2827092729508,2.86333333333333,16.5,45.5727746648614,50.5325291666667,24,"7","7","7",1,0,0,0,0,0,8.61808905509921,0,50.5325291666667,2.86333333333333,0,0,0,0,0,0,0,0,0,0,0
