"","t","total_electricity","outdoor_temp","s","daypart","weekday","outdoor_temp_h","outdoor_temp_lp_h","outdoor_temp_c","outdoor_temp_lp_c","daypart_fs_sin_1","daypart_fs_cos_1","daypart_fs_sin_2","daypart_fs_cos_2","daypart_fs_sin_3","daypart_fs_cos_3"
"10276",2017-05-06 09:00:00,16260.0468128786,20.5,"04","2","6",0,0,5.16666666666667,1.9781338646235,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16,0.707106781186547,0.707106781186548
"10277",2017-05-06 10:00:00,16538.124418383,22.5,"04","2","6",0,0,7.16666666666667,2.08715525491141,0.5,-0.866025403784439,-0.866025403784439,0.5,1,3.06161699786838e-16
"10278",2017-05-06 11:00:00,16692.9820070771,21.9666666666667,"04","2","6",0,0,6.63333333333337,2.1826794952922,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438,0.707106781186548,-0.707106781186547
"10279",2017-05-06 12:00:00,17142.5685548986,23,"04","3","6",0,0,6.4,1.0312423026512,1.22464679914735e-16,-1,-2.44929359829471e-16,1,3.67394039744206e-16,-1
"10280",2017-05-06 13:00:00,17426.1966116107,23.5,"04","3","6",0,0,6.9,1.15455657044882,-0.25881904510252,-0.965925826289068,0.499999999999999,0.866025403784439,-0.707106781186548,-0.707106781186547
"10281",2017-05-06 14:00:00,13043.0052929112,23.5666666666667,"04","3","6",0,0,6.9666666666667,1.2766805595169,-0.5,-0.866025403784439,0.866025403784439,0.5,-1,-4.28626379701574e-16
"10282",2017-05-06 15:00:00,18221.5762696703,22,"04","3","6",0,0,5.4,1.36331969916456,-0.707106781186547,-0.707106781186548,1,3.06161699786838e-16,-0.707106781186548,0.707106781186547
"10283",2017-05-06 16:00:00,17914.6363178859,22.5,"04","4","6",0,0,6.96666666666667,2.52531103902094,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999,-4.89858719658941e-16,1
"10284",2017-05-06 17:00:00,18055.6177785608,22.5,"04","4","6",0,0,6.96666666666667,2.61863275129735,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439,0.707106781186548,0.707106781186547
"10285",2017-05-06 18:00:00,17920.1867690936,23,"04","4","6",0,0,7.46666666666667,2.72049958297825,-1,-1.83697019872103e-16,3.67394039744206e-16,-1,1,5.51091059616309e-16
"10286",2017-05-06 19:00:00,17808.0676546986,21,"04","4","6",0,0,5.46666666666667,2.77820201348205,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439,0.707106781186549,-0.707106781186546
"10287",2017-05-06 20:00:00,14817.4845440043,19.3333333333333,"04","5","6",0,0,0,0,-0.866025403784439,0.5,-0.866025403784439,-0.5,6.12323399573677e-16,-1
"10288",2017-05-06 21:00:00,10786.7468769921,19,"04","5","6",0,0,0,0,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16,-0.707106781186548,-0.707106781186547
"10289",2017-05-06 22:00:00,7176.17836640065,19,"04","5","6",0,0,0,0,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999,-1,-2.44991257893129e-15
"10290",2017-05-06 23:00:00,11015.4254667482,18.0666666666667,"04","5","6",0,0,0,0,-0.258819045102521,0.965925826289068,-0.5,0.866025403784439,-0.707106781186549,0.707106781186546
"10291",2017-05-07 00:00:00,10282.2108622146,18,"02","0","7",0,0,0.666666666666668,1.01377818526339,0,1,0,1,0,1
"10292",2017-05-07 01:00:00,10337.1603291705,18,"02","0","7",0,0,0.666666666666668,1.00648468211208,0.258819045102521,0.965925826289068,0.5,0.866025403784439,0.707106781186547,0.707106781186548
"10293",2017-05-07 02:00:00,9848.72062289529,17.1666666666667,"02","0","7",0,0,0,0,0.5,0.866025403784439,0.866025403784439,0.5,1,6.12323399573677e-17
"10294",2017-05-07 03:00:00,9746.03727555333,16.5,"02","0","7",0,0,0,0,0.707106781186547,0.707106781186548,1,6.12323399573677e-17,0.707106781186548,-0.707106781186547
"10295",2017-05-07 04:00:00,9646.12915381521,17,"02","1","7",0.733333333333334,0,0,0,0.866025403784439,0.5,0.866025403784439,-0.5,1.22464679914735e-16,-1
"10296",2017-05-07 05:00:00,9441.87254937284,16.1,"02","1","7",1.63333333333333,0,0,0,0.965925826289068,0.258819045102521,0.5,-0.866025403784439,-0.707106781186547,-0.707106781186548
"10297",2017-05-07 06:00:00,7162.85728350224,16.5,"02","1","7",1.23333333333333,0,0,0,1,6.12323399573677e-17,1.22464679914735e-16,-1,-1,-1.83697019872103e-16
"10298",2017-05-07 07:00:00,11830.7867491554,17,"02","1","7",0.733333333333334,0,0,0,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439,-0.707106781186548,0.707106781186547
"10299",2017-05-07 08:00:00,12121.6303924375,17.7666666666667,"02","2","7",0,0,2.43333333333337,2.80334707741912,0.866025403784439,-0.5,-0.866025403784438,-0.5,-2.44929359829471e-16,1
"10300",2017-05-07 09:00:00,16300.5651066946,19.5,"02","2","7",0,0,4.16666666666667,2.83199313261376,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16,0.707106781186547,0.707106781186548
